Row Labels,WindowsOnly Number,WindowsOnly Percent,OtherVentilation Number,OtherVentilation Percent,TotalClassrooms (not inc DNE),Does Not Exist Number,Does Not Exist Percent,Operational Number,Operational Percent,Repair In Progress Number,Repair in Progress Percent,Does Not Exist or Repair in Progress Number,Does Not Exist or Repair in Progress Percent,Total Number Classrooms,Address,Latitude,Longitude,OpenCage Address,OpenCage Zip Code,OpeningDate,SchoolType,NTANumber,NTAName,JoinedSchoolListLocList,Census_tract,numSchools,studentEnrollment,studentCases,staffAndTeacherEnrollment,staffAndTeacherCases,totalCases,totalSchoolPop,studentsPerClassroom,staffPerClassroom,totalSchoolPopPerClassroom,casePerStudent,casesPerStaff,totalCasesPerPop,"caseRatePer10,000Student","caseRatePer10,000Staff","totalCaseRatePer10,000Pop"
R455,5,5%,98,95%,103,0,0%,100,97%,3,3%,3,3%,103,100 LUTEN AVENUE,40.528152,-74.193431,"Tottenville High School, Hawley Avenue, New York, NY 10312, United States of America",10312,1972,High school,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,Tottenville High School,19800,1,3726,36,390,10,46,4116,36.17475728,3.786407767,39.96116505,0.009661835749,0.02564102564,0.01117589893,96.61835749,256.4102564,111.7589893
X405,2,1%,151,99%,153,1,1%,149,97%,4,3%,5,3%,154,3000 EAST TREMONT AVENUE,40.839775,-73.839583,"Herbert H Lehman High School, 3000 East Tremont Avenue, New York, NY 10461, United States of America",10461,1972,High school,BX52,Schuylerville-Throgs Neck-Edgewater Park,"Herbert H. Lehman High School, Renaissance High School for Musical Theater and th, Throggs Neck High School, Westchester Square Academy, Bronx River High School, Pelham Lab High School, Schuylerville Preparatory High School",19400,6,3163,25,377,6,31,3540,20.53896104,2.448051948,22.98701299,0.007903888713,0.01591511936,0.008757062147,79.03888713,159.1511936,87.57062147
K228,11,18%,51,82%,62,0,0%,62,100%,0,0%,0,0%,62,228 AVENUE S,40.60066,-73.976801,"Intermediate School 228, West 5th Street, New York, NY 11223, United States of America",11223,1930,Junior High-Intermediate-Middle,BK29,Bensonhurst East,I.S. 228 David A. Boody,41000,1,1591,24,168,4,28,1759,25.66129032,2.709677419,28.37096774,0.01508485229,0.02380952381,0.0159181353,150.8485229,238.0952381,159.181353
M167,10,15%,56,85%,66,0,0%,66,100%,0,0%,0,0%,66,220 EAST  76 STREET,40.771541,-73.957827,"Junior High School 167, East 75th Street, New York, NY 10021, United States of America",10021,1956,Junior High-Intermediate-Middle,MN31,Lenox Hill-Roosevelt Island,J.H.S. 167 Robert F. Wagner,13400,1,1275,24,115,3,27,1390,19.31818182,1.742424242,21.06060606,0.01882352941,0.02608695652,0.01942446043,188.2352941,260.8695652,194.2446043
R075,1,1%,78,99%,79,0,0%,79,100%,0,0%,0,0%,79,455 HUGUENOT AVENUE,40.544535,-74.197033,"455 Huguenot Avenue, New York, NY 10312, United States of America",10312,1985,Junior High-Intermediate-Middle,SI48,Arden Heights,I.S. 075 Frank D. Paulo,17010,1,1446,24,195,3,27,1641,18.30379747,2.46835443,20.7721519,0.01659751037,0.01538461538,0.01645338208,165.9751037,153.8461538,164.5338208
K078,0,0%,71,100%,71,0,0%,70,99%,1,1%,1,1%,71,1420 EAST  68 STREET,40.620537,-73.912914,"Intermediate School 78, Avenue N, New York, NY 11234, United States of America",11234,1964,Junior High-Intermediate-Middle,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,"J.H.S. 078 Roy H. Mann, Success Academy Charter School - Bergen Beach - Ne",69602,2,1592,23,218,6,29,1810,22.42253521,3.070422535,25.49295775,0.01444723618,0.02752293578,0.01602209945,144.4723618,275.2293578,160.2209945
R069,0,0%,53,100%,53,0,0%,53,100%,0,0%,0,0%,53,144 KEATING PLACE,40.59148,-74.157327,"Public School 69, Travis Avenue, New York, NY 10314, United States of America",10314,1976,Elementary,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,P.S. 069 Daniel D. Tompkins,27705,1,883,22,164,5,27,1047,16.66037736,3.094339623,19.75471698,0.02491506229,0.03048780488,0.02578796562,249.1506229,304.8780488,257.8796562
R007,0,0%,67,100%,67,0,0%,67,100%,0,0%,0,0%,67,1270 HUGUENOT AVENUE,40.522971,-74.186096,"Intermediate School 7, Irvington Street, New York, NY 10312, United States of America",10312,1965,Junior High-Intermediate-Middle,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,I.S. 007 Elias Bernstein,19800,1,1195,21,142,4,25,1337,17.8358209,2.119402985,19.95522388,0.01757322176,0.02816901408,0.01869857891,175.7322176,281.6901408,186.9857891
R024,8,11%,65,89%,73,0,0%,73,100%,0,0%,0,0%,73,750 DURANT AVENUE,40.54549,-74.145558,"Intermediate School 24, 225 Cleveland Avenue, New York, NY 10308, United States of America",10308,1968,Junior High-Intermediate-Middle,SI54,Great Kills,I.S. 024 Myra S. Barnes,13203,1,1308,21,186,4,25,1494,17.91780822,2.547945205,20.46575342,0.01605504587,0.02150537634,0.01673360107,160.5504587,215.0537634,167.3360107
R880,0,0%,51,100%,51,0,0%,51,100%,0,0%,0,0%,51,715 OCEAN TERRACE,40.607637,-74.105883,"Michael J. Petrides School, Milford Drive, New York, NY 10304, United States of America",10304,1995,K-12 all grades,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"The Michael J. Petrides School, Bridge Preparatory Charter School",17700,2,1581,21,229,5,26,1810,31,4.490196078,35.49019608,0.01328273245,0.02183406114,0.01436464088,132.8273245,218.3406114,143.6464088
