Row Labels,WindowsOnly Number,WindowsOnly Percent,OtherVentilation Number,OtherVentilation Percent,TotalClassrooms (not inc DNE),Does Not Exist Number,Does Not Exist Percent,Operational Number,Operational Percent,Repair In Progress Number,Repair in Progress Percent,Does Not Exist or Repair in Progress Number,Does Not Exist or Repair in Progress Percent,Total Number Classrooms,Address,Latitude,Longitude,OpenCage Address,OpenCage Zip Code,OpeningDate,SchoolType,NTANumber,NTAName,JoinedSchoolListLocList,Census_tract,numSchools,studentEnrollment,studentCases,staffAndTeacherEnrollment,staffAndTeacherCases,totalCases,totalSchoolPop,studentsPerClassroom,staffPerClassroom,totalSchoolPopPerClassroom,casePerStudent,casesPerStaff,totalCasesPerPop,"caseRatePer10,000Student","caseRatePer10,000Staff","totalCaseRatePer10,000Pop"
K023,0,0,40,1,40,0,0,40,1,0,0,0,0,40,545 WILLOUGHBY AVENUE,40.6941,-73.9476,"Public School 23, 545 Willoughby Avenue, New York, NY 11206, United States of America",11206,1901,Junior High-Intermediate-Middle,BK75,Bedford,"P.S. 023 Carter G. Woodson, Brooklyn Charter School",25901,2,406,11,96,5,16,502,10.15,2.4,12.55,0.027093596,0.052083333,0.03187251,270.9359606,520.8333333,318.7250996
R069,0,0,53,1,53,0,0,53,1,0,0,0,0,53,144 KEATING PLACE,40.59148,-74.157327,"Public School 69, Travis Avenue, New York, NY 10314, United States of America",10314,1976,Elementary,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,P.S. 069 Daniel D. Tompkins,27705,1,883,22,164,5,27,1047,16.66037736,3.094339623,19.75471698,0.024915062,0.030487805,0.025787966,249.1506229,304.8780488,257.8796562
K061,5,0.08,55,0.92,60,0,0,60,1,0,0,0,0,60,400 EMPIRE BOULEVARD,40.663605,-73.949198,"Middle School 61, 400 Empire Boulevard, New York, NY 11225, United States of America",11225,1958,Junior High-Intermediate-Middle,BK60,Prospect Lefferts Gardens-Wingate,M.S. 061 Dr. Gladstone H. Atwell,32900,1,515,10,71,2,12,586,8.583333333,1.183333333,9.766666667,0.019417476,0.028169014,0.020477816,194.1747573,281.6901408,204.778157
K262,0,0,39,1,39,0,0,39,1,0,0,0,0,39,500 MACON STREET,40.682949,-73.930132,"Public School 262, 500 Macon Street, New York, NY 11233, United States of America",11233,1961,Elementary,BK61,Crown Heights North,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,29700,1,155,3,27,0,3,182,3.974358974,0.692307692,4.666666667,0.019354839,0,0.016483516,193.5483871,0,164.8351648
K320,4,0.06,68,0.94,72,0,0,72,1,0,0,0,0,72,46 MCKEEVER PLACE,40.665199,-73.959484,"46 Mckeever Place, New York, NY 11225, United States of America",11225,2001,Elementary,BK63,Crown Heights South,"P.S. 375 Jackie Robinson School, Ebbets Field Middle School",32500,2,382,7,93,1,8,475,5.305555556,1.291666667,6.597222222,0.018324607,0.010752688,0.016842105,183.2460733,107.5268817,168.4210526
R029,0,0,32,1,32,0,0,32,1,0,0,0,0,32,1581 VICTORY BOULEVARD,40.614039,-74.116197,"Public School 29, Slosson Avenue, New York, NY 10314, United States of America",10314,1922,Elementary,SI07,Westerleigh,P.S. 029 Bardwell,14700,1,640,11,86,2,13,726,20,2.6875,22.6875,0.0171875,0.023255814,0.017906336,171.875,232.5581395,179.0633609
X465,0,0,21,1,21,0,0,21,1,0,0,0,0,21,4143 THIRD AVENUE,40.845366,-73.897479,"1846 Bathgate Avenue, New York, NY 10457, United States of America",10457,2004,Secondary School,BX01,Claremont-Bathgate,Eagle Academy for Young Men,39500,1,485,8,63,1,9,548,23.0952381,3,26.0952381,0.016494845,0.015873016,0.016423358,164.9484536,158.7301587,164.2335766
R058,0,0,58,1,58,0,0,58,1,0,0,0,0,58,77 MARSH AVENUE,40.582791,-74.160867,"P.S. 58, Marsh Avenue, New York, NY 10314-3903, United States of America",10314,2003,Elementary,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Space Shuttle Columbia School,27702,1,660,10,120,0,10,780,11.37931034,2.068965517,13.44827586,0.015151515,0,0.012820513,151.5151515,0,128.2051282
Q076,0,0,52,1,52,0,0,52,1,0,0,0,0,52,36-36 10 STREET,40.760862,-73.94163,"Public School 76, 9th Street, New York, NY 11101, United States of America",11101,1966,Elementary,QN68,Queensbridge-Ravenswood-Long Island City,P.S. 076 William Hallet,3900,1,402,6,91,2,8,493,7.730769231,1.75,9.480769231,0.014925373,0.021978022,0.016227181,149.2537313,219.7802198,162.2718053
Q972,0,0,9,1,9,0,0,9,1,0,0,0,0,9,27-35 JACKSON AVENUE,40.748159,-73.940316,"27-35 Jackson Avenue, New York, NY 11101, United States of America",11101,2018,Elementary,QN31,Hunters Point-Sunnyside-West Maspeth,P.S. 384,1900,1,136,2,27,0,2,163,15.11111111,3,18.11111111,0.014705882,0,0.012269939,147.0588235,0,122.6993865
