Row Labels,WindowsOnly Number,WindowsOnly Percent,OtherVentilation Number,OtherVentilation Percent,TotalClassrooms (not inc DNE),Does Not Exist Number,Does Not Exist Percent,Operational Number,Operational Percent,Repair In Progress Number,Repair in Progress Percent,Does Not Exist or Repair in Progress Number,Does Not Exist or Repair in Progress Percent,Total Number Classrooms,Address,Latitude,Longitude,OpenCage Address,OpenCage Zip Code,OpeningDate,SchoolType,NTANumber,NTAName,JoinedSchoolListLocList,Census_tract,numSchools,studentEnrollment,studentCases,staffAndTeacherEnrollment,staffAndTeacherCases,totalCases,totalSchoolPop,studentsPerClassroom,staffPerClassroom,totalSchoolPopPerClassroom,casePerStudent,casesPerStaff,totalCasesPerPop,"caseRatePer10,000Student","caseRatePer10,000Staff","totalCaseRatePer10,000Pop"
K682,14,1,0,0,14,0,0,14,1,0,0,0,0,14,736 48TH STREET,40.643018,-74.004306,"Saint Agathas School, 736 48th Street, New York, NY 11220, United States of America",11220,2018,Elementary,BK34,Sunset Park East,The School of Creativity and Innovation,108,1,147,1,25,1,2,172,10.5,1.785714286,12.28571429,0.006802721,0.04,0.011627907,68.02721088,400,116.2790698
Q781,16,1,0,0,16,0,0,16,1,0,0,0,0,16,120-27 141ST STREET,40.675626,-73.799756,"Saint Clements School, 120-25 141st Street, New York, NY 11436, United States of America",11436,2016,Elementary,QN76,Baisley Park,Success Academy Charter School - South Jamaica,18200,1,501,2,56,0,2,557,31.3125,3.5,34.8125,0.003992016,0,0.003590664,39.92015968,0,35.90664273
M387,30,0.94,2,0.06,32,0,0,26,0.81,6,0.19,6,0.19,32,701 FORT WASHINGTON AVENUE,40.85765,-73.935231,"700 Fort Washington Avenue, New York, NY 10040, United States of America",10040,2014,Elementary,MN35,Washington Heights North,Success Academy Charter School - Washington Height,27300,1,569,10,73,3,13,642,17.78125,2.28125,20.0625,0.017574692,0.04109589,0.020249221,175.7469244,410.9589041,202.4922118
Q636,18,1,0,0,18,0,0,18,1,0,0,0,0,18,94-25 117TH STREET,40.693013,-73.829409,"94-20 117th Street, New York, NY 11419, United States of America",11419,2014,High school,QN54,Richmond Hill,Epic High School - North,12000,1,416,0,41,0,0,457,23.11111111,2.277777778,25.38888889,0,0,0,0,0,0
Q777,14,1,0,0,14,0,0,14,1,0,0,0,0,14,50-15 44TH STREET,40.73668,-73.921346,"50-36 45th Street, New York, NY 11377, United States of America",11377,2013,K-12 all grades,QN31,Hunters Point-Sunnyside-West Maspeth,The Riverview School,18700,1,681,1,381,2,3,1062,48.64285714,27.21428571,75.85714286,0.001468429,0.005249344,0.002824859,14.68428781,52.49343832,28.24858757
R059,24,0.92,2,0.08,26,0,0,26,1,0,0,0,0,26,300 Richmond Terrace,40.647898,-74.083408,"300 Richmond Terrace, New York, NY 10301, United States of America",10301,2013,Elementary,SI22,West New Brighton-New Brighton-St. George,The Harbor View School,700,1,306,3,47,0,3,353,11.76923077,1.807692308,13.57692308,0.009803922,0,0.008498584,98.03921569,0,84.98583569
K763,17,0.94,1,0.06,18,0,0,18,1,0,0,0,0,18,211 8TH STREET,40.671145,-73.987602,"211 8th Street, New York, NY 11215, United States of America",11215,2013,Elementary,BK37,Park Slope-Gowanus,The Maurice Sendak Community School,13700,1,273,1,31,0,1,304,15.16666667,1.722222222,16.88888889,0.003663004,0,0.003289474,36.63003663,0,32.89473684
Q595,25,1,0,0,25,0,0,22,0.88,3,0.12,3,0.12,25,162-02 HILLSIDE AVENUE,40.708204,-73.799532,"Jamaica Learning Center, Hillside Avenue, New York, NY 11427, United States of America",11427,2010,High school,QN61,Jamaica,Queens Satellite High School for Opportunity,44602,1,175,0,23,1,1,198,7,0.92,7.92,0,0.043478261,0.005050505,0,434.7826087,50.50505051
K728,10,1,0,0,10,0,0,10,1,0,0,0,0,10,2865 WEST 19TH STREET,40.576976,-73.985413,"Our Lady of Solace Roman Catholic Church, 2890 West 17th Street, New York, NY 11224, United States of America",11224,2007,High school,BK21,Seagate-Coney Island,Liberation Diploma Plus,32600,1,213,0,25,0,0,238,21.3,2.5,23.8,0,0,0,0,0,0
K865,24,1,0,0,24,0,0,24,1,0,0,0,0,24,797 BUSHWICK AVENUE,40.695436,-73.927349,"Bushwick Leaders' High School for Academic Excellence, 797 Bushwick Avenue, New York, NY 11221, United States of America",11221,2003,High school,BK78,Bushwick South,Bushwick Leaders High School for Academic Excellen,39300,1,365,1,61,1,2,426,15.20833333,2.541666667,17.75,0.002739726,0.016393443,0.004694836,27.39726027,163.9344262,46.94835681
